nd;era_m2;prop;nd_el
SFH_RUR_HT_0;23522933;0.395;SFH_RUR_0
SFH_RUR_HT_1;18731390;0.315;SFH_RUR_1
SFH_RUR_HT_2;12369630;0.208;SFH_RUR_2
SFH_RUR_HT_3;4923274;0.083;SFH_RUR_3
SFH_SUB_HT_0;30468221;0.408;SFH_SUB_0
SFH_SUB_HT_1;20741687;0.278;SFH_SUB_1
SFH_SUB_HT_2;6640249;0.089;SFH_SUB_2
SFH_SUB_HT_3;16863437;0.226;SFH_SUB_3
SFH_URB_HT_0;1067656;0.065;SFH_URB_0
SFH_URB_HT_1;5167507;0.313;SFH_URB_1
SFH_URB_HT_2;7487719;0.453;SFH_URB_2
SFH_URB_HT_3;2795255;0.169;SFH_URB_3
MFH_RUR_HT_0;2250605;0.071;MFH_RUR_0
MFH_RUR_HT_1;8695731;0.274;MFH_RUR_1
MFH_RUR_HT_2;6842840;0.216;MFH_RUR_2
MFH_RUR_HT_3;13921872;0.439;MFH_RUR_3
MFH_SUB_HT_0;41588426;0.453;MFH_SUB_0
MFH_SUB_HT_1;18317511;0.199;MFH_SUB_1
MFH_SUB_HT_2;30624076;0.333;MFH_SUB_2
MFH_SUB_HT_3;1345971;0.015;MFH_SUB_3
MFH_URB_HT_0;26304673;0.397;MFH_URB_0
MFH_URB_HT_1;2019864;0.030;MFH_URB_1
MFH_URB_HT_2;31569043;0.476;MFH_URB_2
MFH_URB_HT_3;6410590;0.097;MFH_URB_3
OCO_RUR;1;1;OCO_RUR
OCO_SUB;1;1;OCO_SUB
OCO_URB;1;1;OCO_URB
IND_RUR;1;1;IND_RUR
IND_SUB;1;1;IND_SUB
IND_URB;1;1;IND_URB
