nd;dmnd_sum;dmnd_sum_yr2020;dmnd_sum_yr2025;dmnd_sum_yr2030;dmnd_sum_yr2035;dmnd_sum_yr2040;dmnd_sum_yr2045;dmnd_sum_yr2050
MFH_RUR_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_RUR_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_SUB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
MFH_URB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_RUR_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_SUB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_0;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_1;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_2;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
SFH_URB_HT_3;0;0.142857143;0.285714286;0.428571429;0.571428571;0.714285714;0.857142857;1
