pp;cap_pwr_leg;cap_pwr_leg_yr2020;cap_pwr_leg_yr2025;cap_pwr_leg_yr2030;cap_pwr_leg_yr2035;cap_pwr_leg_yr2040;cap_pwr_leg_yr2045;cap_pwr_leg_yr2050;discharge_duration;st_lss_rt;ca_id;pp_eff;vc_om;vc_ramp;factor_lin_0;factor_lin_1;cap_avlb
SFH_RUR_0_DHW_BO;105;105;105;105;105;105;105;105;0;0;3;1;0;0;0;0;1
SFH_RUR_1_DHW_BO;92;92;92;92;92;92;92;92;0;0;3;1;0;0;0;0;1
SFH_RUR_2_DHW_BO;49;49;49;49;49;49;49;49;0;0;3;1;0;0;0;0;1
SFH_RUR_3_DHW_BO;21;21;21;21;21;21;21;21;0;0;3;1;0;0;0;0;1
SFH_SUB_0_DHW_BO;127;127;127;127;127;127;127;127;0;0;3;1;0;0;0;0;1
SFH_SUB_1_DHW_BO;69;69;69;69;69;69;69;69;0;0;3;1;0;0;0;0;1
SFH_SUB_2_DHW_BO;28;28;28;28;28;28;28;28;0;0;3;1;0;0;0;0;1
SFH_SUB_3_DHW_BO;51;51;51;51;51;51;51;51;0;0;3;1;0;0;0;0;1
SFH_URB_0_DHW_BO;4;4;4;4;4;4;4;4;0;0;3;1;0;0;0;0;1
SFH_URB_1_DHW_BO;12;12;12;12;12;12;12;12;0;0;3;1;0;0;0;0;1
SFH_URB_2_DHW_BO;26;26;26;26;26;26;26;26;0;0;3;1;0;0;0;0;1
SFH_URB_3_DHW_BO;5;5;5;5;5;5;5;5;0;0;3;1;0;0;0;0;1
MFH_RUR_0_DHW_BO;10;10;10;10;10;10;10;10;0;0;3;1;0;0;0;0;1
MFH_RUR_1_DHW_BO;33;33;33;33;33;33;33;33;0;0;3;1;0;0;0;0;1
MFH_RUR_2_DHW_BO;33;33;33;33;33;33;33;33;0;0;3;1;0;0;0;0;1
MFH_RUR_3_DHW_BO;50;50;50;50;50;50;50;50;0;0;3;1;0;0;0;0;1
MFH_SUB_0_DHW_BO;165;165;165;165;165;165;165;165;0;0;3;1;0;0;0;0;1
MFH_SUB_1_DHW_BO;47;47;47;47;47;47;47;47;0;0;3;1;0;0;0;0;1
MFH_SUB_2_DHW_BO;92;92;92;92;92;92;92;92;0;0;3;1;0;0;0;0;1
MFH_SUB_3_DHW_BO;5;5;5;5;5;5;5;5;0;0;3;1;0;0;0;0;1
MFH_URB_0_DHW_BO;50;50;50;50;50;50;50;50;0;0;3;1;0;0;0;0;1
MFH_URB_1_DHW_BO;1;1;1;1;1;1;1;1;0;0;3;1;0;0;0;0;1
MFH_URB_2_DHW_BO;107;107;107;107;107;107;107;107;0;0;3;1;0;0;0;0;1
MFH_URB_3_DHW_BO;11;11;11;11;11;11;11;11;0;0;3;1;0;0;0;0;1
SFH_RUR_0_DHW_STO;105;105;105;105;105;105;105;105;6;0;3;1;0;0;0;0;1
SFH_RUR_1_DHW_STO;92;92;92;92;92;92;92;92;6;0;3;1;0;0;0;0;1
SFH_RUR_2_DHW_STO;49;49;49;49;49;49;49;49;6;0;3;1;0;0;0;0;1
SFH_RUR_3_DHW_STO;21;21;21;21;21;21;21;21;6;0;3;1;0;0;0;0;1
SFH_SUB_0_DHW_STO;127;127;127;127;127;127;127;127;6;0;3;1;0;0;0;0;1
SFH_SUB_1_DHW_STO;69;69;69;69;69;69;69;69;6;0;3;1;0;0;0;0;1
SFH_SUB_2_DHW_STO;28;28;28;28;28;28;28;28;6;0;3;1;0;0;0;0;1
SFH_SUB_3_DHW_STO;51;51;51;51;51;51;51;51;6;0;3;1;0;0;0;0;1
SFH_URB_0_DHW_STO;4;4;4;4;4;4;4;4;6;0;3;1;0;0;0;0;1
SFH_URB_1_DHW_STO;12;12;12;12;12;12;12;12;6;0;3;1;0;0;0;0;1
SFH_URB_2_DHW_STO;26;26;26;26;26;26;26;26;6;0;3;1;0;0;0;0;1
SFH_URB_3_DHW_STO;5;5;5;5;5;5;5;5;6;0;3;1;0;0;0;0;1
MFH_RUR_0_DHW_STO;10;10;10;10;10;10;10;10;6;0;3;1;0;0;0;0;1
MFH_RUR_1_DHW_STO;33;33;33;33;33;33;33;33;6;0;3;1;0;0;0;0;1
MFH_RUR_2_DHW_STO;33;33;33;33;33;33;33;33;6;0;3;1;0;0;0;0;1
MFH_RUR_3_DHW_STO;50;50;50;50;50;50;50;50;6;0;3;1;0;0;0;0;1
MFH_SUB_0_DHW_STO;165;165;165;165;165;165;165;165;6;0;3;1;0;0;0;0;1
MFH_SUB_1_DHW_STO;47;47;47;47;47;47;47;47;6;0;3;1;0;0;0;0;1
MFH_SUB_2_DHW_STO;92;92;92;92;92;92;92;92;6;0;3;1;0;0;0;0;1
MFH_SUB_3_DHW_STO;5;5;5;5;5;5;5;5;6;0;3;1;0;0;0;0;1
MFH_URB_0_DHW_STO;50;50;50;50;50;50;50;50;6;0;3;1;0;0;0;0;1
MFH_URB_1_DHW_STO;1;1;1;1;1;1;1;1;6;0;3;1;0;0;0;0;1
MFH_URB_2_DHW_STO;107;107;107;107;107;107;107;107;6;0;3;1;0;0;0;0;1
MFH_URB_3_DHW_STO;11;11;11;11;11;11;11;11;6;0;3;1;0;0;0;0;1
