pp;ca_id;pp_eff;cap_avlb;cap_pwr_leg_hp_fossil;cap_pwr_leg_yr2020_hp_fossil;cap_pwr_leg_yr2025_hp_fossil;cap_pwr_leg_yr2030_hp_fossil;cap_pwr_leg_yr2035_hp_fossil;cap_pwr_leg_yr2040_hp_fossil;cap_pwr_leg_yr2045_hp_fossil;cap_pwr_leg_yr2050_hp_fossil;cap_pwr_leg_hp_retr_1pc_fossil;cap_pwr_leg_yr2020_hp_retr_1pc_fossil;cap_pwr_leg_yr2025_hp_retr_1pc_fossil;cap_pwr_leg_yr2030_hp_retr_1pc_fossil;cap_pwr_leg_yr2035_hp_retr_1pc_fossil;cap_pwr_leg_yr2040_hp_retr_1pc_fossil;cap_pwr_leg_yr2045_hp_retr_1pc_fossil;cap_pwr_leg_yr2050_hp_retr_1pc_fossil;cap_pwr_leg_hp_retr_2pc_fossil;cap_pwr_leg_yr2020_hp_retr_2pc_fossil;cap_pwr_leg_yr2025_hp_retr_2pc_fossil;cap_pwr_leg_yr2030_hp_retr_2pc_fossil;cap_pwr_leg_yr2035_hp_retr_2pc_fossil;cap_pwr_leg_yr2040_hp_retr_2pc_fossil;cap_pwr_leg_yr2045_hp_retr_2pc_fossil;cap_pwr_leg_yr2050_hp_retr_2pc_fossil
MFH_RUR_HT_0_DHW_AW;4;2;1;0;27.01;54.02;81.03;108.04;135.04;162.05;189.06;0;20.1;40.21;60.31;80.42;100.52;120.63;140.73;0;13.49;26.97;40.46;53.95;67.44;80.92;94.41
MFH_RUR_HT_1_DHW_AW;4;2;1;0;74.65;149.3;223.95;298.6;373.25;447.9;522.55;0;60.81;121.63;182.44;243.26;304.07;364.89;425.7;0;46.85;93.7;140.56;187.41;234.26;281.11;327.97
MFH_RUR_HT_2_DHW_AW;4;2;1;0;87.64;175.28;262.92;350.56;438.2;525.84;613.48;0;66.45;132.9;199.35;265.8;332.25;398.7;465.16;0;44.32;88.64;132.96;177.28;221.6;265.92;310.24
MFH_RUR_HT_3_DHW_AW;4;2;1;0;189.44;378.89;568.33;757.78;947.22;1136.66;1326.11;0;143.6;287.2;430.8;574.4;718;861.59;1005.19;0;98.24;196.48;294.71;392.95;491.19;589.43;687.66
MFH_SUB_HT_0_DHW_AW;4;2;1;0;628.07;1256.14;1884.22;2512.29;3140.36;3768.43;4396.51;0;479.35;958.7;1438.05;1917.39;2396.74;2876.09;3355.44;0;319.67;639.34;959.02;1278.69;1598.36;1918.03;2237.71
MFH_SUB_HT_1_DHW_AW;4;2;1;0;149.46;298.91;448.37;597.83;747.28;896.74;1046.2;0;125.2;250.4;375.61;500.81;626.01;751.21;876.42;0;100.3;200.6;300.9;401.19;501.49;601.79;702.09
MFH_SUB_HT_2_DHW_AW;4;2;1;0;385.94;771.89;1157.83;1543.78;1929.72;2315.67;2701.61;0;294.37;588.74;883.11;1177.48;1471.85;1766.22;2060.59;0;210.78;421.57;632.35;843.13;1053.92;1264.7;1475.49
MFH_SUB_HT_3_DHW_AW;4;2;1;0;17.25;34.51;51.76;69.01;86.26;103.52;120.77;0;13.61;27.21;40.82;54.43;68.03;81.64;95.25;0;8.11;16.23;24.34;32.46;40.57;48.69;56.8
MFH_URB_HT_0_DHW_AW;4;2;1;0;388.23;776.45;1164.68;1552.91;1941.14;2329.36;2717.59;0;297.3;594.6;891.9;1189.21;1486.51;1783.81;2081.11;0;205.6;411.2;616.8;822.39;1027.99;1233.59;1439.19
MFH_URB_HT_1_DHW_AW;4;2;1;0;12.19;24.38;36.56;48.75;60.94;73.13;85.32;0;11.65;23.3;34.95;46.6;58.25;69.9;81.55;0;11.47;22.94;34.41;45.89;57.36;68.83;80.3
