nd_id;ca_id;dmnd_sum;dmnd_sum_yr2020;dmnd_sum_yr2025;dmnd_sum_yr2030;dmnd_sum_yr2035;dmnd_sum_yr2040;dmnd_sum_yr2045;dmnd_sum_yr2050
MFH_RUR_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_RUR_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_RUR_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_RUR_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_SUB_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_SUB_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_SUB_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_SUB_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_URB_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_URB_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_URB_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
MFH_URB_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_RUR_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_RUR_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_RUR_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_RUR_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_SUB_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_SUB_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_SUB_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_SUB_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_URB_0_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_URB_1_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_URB_2_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
SFH_URB_3_EV;0;1;5.830284714;45.53000509;121.7429501;234.867546;384.9037931;571.8516911;795.670272
