nd_id;pt_id;discharge_duration;st_lss_rt;fc_om;fc_om_yr2020;fc_om_yr2025;fc_om_yr2030;fc_om_yr2035;fc_om_yr2040;fc_om_yr2045;fc_om_yr2050;fc_cp_ann;fc_cp_ann_yr2020;fc_cp_ann_yr2025;fc_cp_ann_yr2030;fc_cp_ann_yr2035;fc_cp_ann_yr2040;fc_cp_ann_yr2045;fc_cp_ann_yr2050;pwr_pot;ca_id;pp_eff
IND_RUR;STO_VR_IND;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
IND_SUB;STO_VR_IND;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
IND_URB;STO_VR_IND;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
MFH_RUR;STO_VR_MFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
MFH_SUB;STO_VR_MFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
MFH_URB;STO_VR_MFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
OCO_RUR;STO_VR_OCO;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
OCO_SUB;STO_VR_OCO;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
OCO_URB;STO_VR_OCO;4;0.3;38679;32133.75;25588.5;19043.25;12498;12498;12498;12498;180426.8542;149032.3979;117637.9416;86243.48531;54849.02903;54849.02903;54849.02903;54849.02903;;0;1
SFH_RUR;STO_VR_SFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
SFH_SUB;STO_VR_SFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
SFH_URB;STO_VR_SFH;4;0.3;52528.5;42570.75;32613;22655.25;12697.5;12697.5;12697.5;12697.5;249042.5;200793.1864;152543.8728;104294.5592;56045.24566;56045.24566;56045.24566;56045.24566;;0;1
MFH_RUR_HT;STO_HT_MFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
MFH_SUB_HT;STO_HT_MFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
MFH_URB_HT;STO_HT_MFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
SFH_RUR_HT;STO_HT_SFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
SFH_SUB_HT;STO_HT_SFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
SFH_URB_HT;STO_HT_SFH;24;0.2;;;;;;;;;;;;;;;;;;1;1
MFH_RUR_HT;HP_AW_MFH;0;0;;;;;;;;;;;;;;;;;;1;3
MFH_SUB_HT;HP_AW_MFH;0;0;;;;;;;;;;;;;;;;;;1;3
MFH_URB_HT;HP_AW_MFH;0;0;;;;;;;;;;;;;;;;;;1;3
SFH_RUR_HT;HP_AW_SFH;0;0;;;;;;;;;;;;;;;;;;1;3
SFH_SUB_HT;HP_AW_SFH;0;0;;;;;;;;;;;;;;;;;;1;3
SFH_URB_HT;HP_AW_SFH;0;0;;;;;;;;;;;;;;;;;;1;3
MFH_RUR_HT;HP_WW_MFH;0;0;;;;;;;;;;;;;;;;;;2;4
MFH_SUB_HT;HP_WW_MFH;0;0;;;;;;;;;;;;;;;;;;2;4
MFH_URB_HT;HP_WW_MFH;0;0;;;;;;;;;;;;;;;;;;2;4
SFH_RUR_HT;HP_WW_SFH;0;0;;;;;;;;;;;;;;;;;;2;4
SFH_SUB_HT;HP_WW_SFH;0;0;;;;;;;;;;;;;;;;;;2;4
SFH_URB_HT;HP_WW_SFH;0;0;;;;;;;;;;;;;;;;;;2;4
