nd;dmnd_sum;dmnd_sum_yr2020;dmnd_sum_yr2025;dmnd_sum_yr2030;dmnd_sum_yr2035;dmnd_sum_yr2040;dmnd_sum_yr2045;dmnd_sum_yr2050
MFH_RUR_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_RUR_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_SUB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
MFH_URB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_RUR_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_SUB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_0;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_1;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_2;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
SFH_URB_HT_3;0;0.126021571;0.252043143;0.378064714;0.504086286;0.630107857;0.756129429;0.882151
