pp;cap_pwr_leg_hp_retr_2pc;cap_pwr_leg_yr2020_hp_retr_2pc;cap_pwr_leg_yr2025_hp_retr_2pc;cap_pwr_leg_yr2030_hp_retr_2pc;cap_pwr_leg_yr2035_hp_retr_2pc;cap_pwr_leg_yr2040_hp_retr_2pc;cap_pwr_leg_yr2045_hp_retr_2pc;cap_pwr_leg_yr2050_hp_retr_2pc
MFH_RUR_HT_0_HP_AW;0;17;34;51;68;85;102;119
MFH_RUR_HT_1_HP_AW;0;55;111;166;221;277;332;387
MFH_RUR_HT_2_HP_AW;0;55;110;166;221;276;331;386
MFH_RUR_HT_3_HP_AW;0;111;222;333;443;554;665;776
MFH_SUB_HT_0_HP_AW;0;330;661;991;1322;1652;1982;2313
MFH_SUB_HT_1_HP_AW;0;112;223;335;446;558;670;781
MFH_SUB_HT_2_HP_AW;0;219;439;658;877;1097;1316;1536
MFH_SUB_HT_3_HP_AW;0;9;17;26;34;43;51;60
MFH_URB_HT_0_HP_AW;0;205;411;616;821;1026;1232;1437
MFH_URB_HT_1_HP_AW;0;14;28;42;56;70;84;97
MFH_URB_HT_2_HP_AW;0;253;506;759;1012;1264;1517;1770
MFH_URB_HT_3_HP_AW;0;37;74;112;149;186;223;261
SFH_RUR_HT_0_HP_AW;0;256;511;767;1023;1279;1534;1790
SFH_RUR_HT_1_HP_AW;0;211;422;633;844;1055;1266;1477
SFH_RUR_HT_2_HP_AW;0;103;206;308;411;514;617;720
SFH_RUR_HT_3_HP_AW;0;53;106;160;213;266;319;373
SFH_SUB_HT_0_HP_AW;0;360;721;1081;1442;1802;2163;2523
SFH_SUB_HT_1_HP_AW;0;209;418;627;836;1044;1253;1462
SFH_SUB_HT_2_HP_AW;0;79;159;238;318;397;477;556
SFH_SUB_HT_3_HP_AW;0;140;280;421;561;701;841;982
SFH_URB_HT_0_HP_AW;0;13;27;40;53;67;80;93
SFH_URB_HT_1_HP_AW;0;56;112;168;223;279;335;391
SFH_URB_HT_2_HP_AW;0;90;179;269;359;448;538;627
SFH_URB_HT_3_HP_AW;0;24;47;71;94;118;142;165
MFH_RUR_HT_0_HP_WW;0;4;7;11;15;18;22;26
MFH_RUR_HT_1_HP_WW;0;9;19;28;37;47;56;65
MFH_RUR_HT_2_HP_WW;0;10;20;30;40;51;61;71
MFH_RUR_HT_3_HP_WW;0;18;37;55;74;92;111;129
MFH_SUB_HT_0_HP_WW;0;54;107;161;214;268;321;375
MFH_SUB_HT_1_HP_WW;0;18;36;54;72;90;108;126
MFH_SUB_HT_2_HP_WW;0;35;70;105;140;175;210;244
MFH_SUB_HT_3_HP_WW;0;2;4;6;8;10;12;14
MFH_URB_HT_0_HP_WW;0;30;59;89;118;148;177;207
MFH_URB_HT_1_HP_WW;0;2;4;6;9;11;13;15
MFH_URB_HT_2_HP_WW;0;40;79;119;158;198;237;277
MFH_URB_HT_3_HP_WW;0;6;12;18;24;29;35;41
SFH_RUR_HT_0_HP_WW;0;42;84;127;169;211;253;295
SFH_RUR_HT_1_HP_WW;0;37;74;111;149;186;223;260
SFH_RUR_HT_2_HP_WW;0;18;35;53;71;89;106;124
SFH_RUR_HT_3_HP_WW;0;11;22;33;44;55;66;77
SFH_SUB_HT_0_HP_WW;0;58;115;173;231;288;346;403
SFH_SUB_HT_1_HP_WW;0;33;66;100;133;166;199;233
SFH_SUB_HT_2_HP_WW;0;14;27;41;54;68;82;95
SFH_SUB_HT_3_HP_WW;0;23;46;68;91;114;137;160
SFH_URB_HT_0_HP_WW;0;2;4;6;9;11;13;15
SFH_URB_HT_1_HP_WW;0;8;16;24;32;40;48;56
SFH_URB_HT_2_HP_WW;0;14;28;42;56;70;84;98
SFH_URB_HT_3_HP_WW;0;4;7;11;15;19;22;26
