fl_id,nd_id,ca_id,pricesll_pf_id,pricebuy_pf_id,is_chp,erg_inp,erg_inp_yr2020,erg_inp_yr2025,erg_inp_yr2030,erg_inp_yr2035,erg_inp_yr2040,erg_inp_yr2045,erg_inp_yr2050,vc_fl,vc_fl_yr2020,vc_fl_yr2025,vc_fl_yr2030,vc_fl_yr2035,vc_fl_yr2040,vc_fl_yr2045,vc_fl_yr2050
15,0,0,,,,2423148.98,2974980.25,2924886.91,3111586.36,3085255.27,3952287.95,3793068.08,3236918.63,1,1,1,1,1,1,1,1
15,1,0,,,,195450.84,809146.8,1724307.44,2477969.15,2704067.66,2800967.02,2844033.4,2854800,1,1,1,1,1,1,1,1
15,2,0,,,,40784295,40784295,40784295,40784295,40784295,40784295,40784295,40784295,1,1,1,1,1,1,1,1
15,3,0,,,,7287700.5,12384403.61,14106325.52,14684311.77,14810066.38,15013638.81,15398314.25,15559796.04,1,1,1,1,1,1,1,1
15,4,0,,,,16630857,20810235.49,21208929.31,20964976.13,21515322.29,26329836.49,26376601.87,26062628.01,1,1,1,1,1,1,1,1
0,0,0,,,,3837415.22,4519671.39,0,0,0,0,0,0,10.84,16.55,20.49,6.41,6.08,5.76,5.62,5.47
0,2,0,,,,0,0,0,0,0,0,0,0,8.45,16.55,20.49,6.41,6.08,5.76,5.62,5.47
0,3,0,,,,8070642.08,8334656.99,330600.45,62797.31,0,0,0,0,10.84,16.55,20.49,6.41,6.08,5.76,5.62,5.47
0,4,0,,,,53853059.96,61453986.18,41260345.39,0,0,0,0,0,12.14,16.55,20.49,6.41,6.08,5.76,5.62,5.47
1,2,0,,,,0,0,0,0,0,0,0,0,1.44,1.44,1.44,6.48,6.48,6.48,6.48,6.48
22,2,0,,,,249698835.2,250545251.1,244466205,63937360,5892000,0,0,0,0,0,0,0,0,0,0,0
13,0,0,,,,190389.86,197091.88,70482.02,61684.41,0,0,0,0,24.11,86.88,101.98,38.19,36.38,34.57,32.77,30.96
13,1,0,,,,0,0,0,0,0,0,0,0,29.24,86.88,101.98,38.19,36.38,34.57,32.77,30.96
13,2,0,,,,987165.88,861092.97,1827681.95,2796386.72,0,0,0,0,23.31,86.88,101.98,38.19,36.38,34.57,32.77,30.96
13,3,0,,,,471950.6,390120,308290.55,0,0,0,0,0,32.79,86.88,101.98,38.19,36.38,34.57,32.77,30.96
13,4,0,,,,8035037.02,7129057.8,7328282.57,0,0,0,0,0,38.39,86.88,101.98,38.19,36.38,34.57,32.77,30.96
2,0,0,,,,6706152.1,1001000,13429319.48,11514450,9926100,8337750,8321120,8304490,38,56.31,63.06,18.63,17.84,17.05,16.27,15.48
2,1,0,,,,0,0,0,0,0,0,0,0,63.29,56.31,63.06,18.63,17.84,17.05,16.27,15.48
20,1,0,,,,2673000,3098700,5346000,7712100,15057900,12741300,11691900,10543500,0,0,0,0,0,0,0,0
2,2,0,,,,91879646.1,73969428.04,101205591.6,50819000,34000000,34000000,23000000,23000000,29.5,56.31,63.06,18.63,17.84,17.05,16.27,15.48
2,3,0,,,,25494984.99,22102503.81,23433783.8,19182500,12009395.95,4836291.9,2637805.5,439319.1,42.2,56.31,63.06,18.63,17.84,17.05,16.27,15.48
2,4,0,,,,109190007.4,124904448.6,123003190.6,75000000,62500000,50000000,37500000,25000000,41.82,56.31,63.06,18.63,17.84,17.05,16.27,15.48
3,1,0,,,,23424740,20661040,15228940,8395930,0,0,0,0,1.88,1.88,1.88,6.05,6.05,6.05,6.05,6.05
3,2,0,,,,92360843.1,32849068.86,0,0,0,0,0,0,1.88,1.88,1.88,6.05,6.05,6.05,6.05,6.05
3,3,0,,,,423454524.1,377547216.9,367091902,366963824.6,361131045.9,295197035.2,270121018,181500553.6,1.88,1.88,1.88,6.05,6.05,6.05,6.05,6.05
6,4,0,,,,5918513.11,5918513.11,5918513.11,5918513.11,5918513.11,5918513.11,5478976.16,5478976.16,0,0,0,0,0,0,0,0
6,1,0,,,,0,97521.45,282812.19,663145.83,1297035.22,2252745.39,3296224.85,4183670,0,0,0,0,0,0,0,0
7,0,0,,,,628843.83,772052.39,759052.41,807503.74,800670.43,1025678.53,984358.56,840029.36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,1,0,,,,1998518.75,2139377.39,2305846.69,2421094.67,2421094.67,2433900,2433900,2433900,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
