nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
0,0,3,0.036599602,3326944.444,63215039.72,67167692.03,69682294.28,72506178.76,77048730.13,81591281.5,86133832.87,90676384.24,0.1
2,0,1,0.039569865,25605000.0,521960095.9,530338374.3,545230008.3,651500000.0,685910000.0,720320000.0,745845000.0,771370000.0,0.1
3,0,2,0.064885244,35988888.89,439479331.0,452228740.3,457984660.1,523310000.0,546925000.0,570540000.0,584015000.0,597490000.0,0.1
4,0,4,0.060990877,19716944.44,294098626.5,304286819.3,306304595.5,325640000.0,350279591.4,374919182.9,392063853.8,409208524.6,0.1
1,0,0,0.041333623,142320.0,4744000.0,4895908.923,5006768.228,5080297.359,5153826.491,5248848.753,5368757.797,5495454.147,0.1
5,0,43,0.041333623,0.0,5587308.216,5766220.943,5896786.944,5983386.841,6069986.738,6181900.455,6323124.905,6472343.19,0.1
6,0,44,0.041333623,0.0,5268912.345,5437629.631,5560755.256,5642420.209,5724085.163,5829621.414,5962798.11,6103513.108,0.1
7,0,45,0.041333623,0.0,8110959.025,8370682.266,8560221.744,8685936.702,8811651.659,8974114.071,9179126.161,9395742.705,0.1
8,0,46,0.041333623,0.0,131305.2103,136221.3887,139848.2278,142302.5527,144756.8776,147756.1437,151537.0858,155531.2123,0.1
9,0,47,0.041333623,0.0,517262.3036,536246.2179,550254.3722,559737.6122,569220.8523,580796.6629,595389.0827,610804.2139,0.1
10,0,48,0.041333623,0.0,398117.1404,413071.9163,424104.1952,431569.3885,439034.5817,448158.9588,459661.3929,471812.3877,0.1
11,0,49,0.041333623,0.0,833232.7075,863653.4829,886102.1461,901301.0382,916499.9303,935047.0767,958427.4037,983125.8704,0.1
12,0,50,0.041333623,0.0,1314085.922,1366149.471,1404535.805,1430484.195,1456432.586,1488239.764,1528338.904,1570699.488,0.1
13,0,51,0.041333623,0.0,614260.6085,637172.5927,654076.264,665516.0264,676955.7888,690932.6154,708552.0477,727164.9177,0.1
14,0,52,0.041333623,0.0,1008107.998,1046426.341,1074690.572,1093811.679,1112932.786,1136318.933,1165800.495,1196944.443,0.1
15,0,53,0.041333623,0.0,44200.60314,45925.32037,47197.14969,48057.12658,48917.10347,49970.39822,51298.26123,52701.00648,0.1
