pp_id,ca_id,supply_pf_id,pp_eff,erg_max,discharge_duration,st_lss_rt,st_lss_hr,factor_lin_0,factor_lin_1,cap_avlb,vc_ramp,vc_om,cap_pwr_leg,cap_pwr_leg_yr2020,cap_pwr_leg_yr2025,cap_pwr_leg_yr2030,cap_pwr_leg_yr2035,cap_pwr_leg_yr2040,cap_pwr_leg_yr2045,cap_pwr_leg_yr2050,erg_chp,erg_chp_yr2020,erg_chp_yr2025,erg_chp_yr2030,erg_chp_yr2035,erg_chp_yr2040,erg_chp_yr2045,erg_chp_yr2050,cap_pwr_leg_old,fc_cp_ann_yr2045,fc_om_yr2020,fc_om_yr2050,fc_om_yr2035,fc_cp_ann,fc_cp_ann_yr2030,pwr_pot,fc_cp_ann_yr2035,fc_om_yr2030,fc_cp_ann_yr2040,fc_cp_ann_yr2050,fc_cp_ann_yr2020,fc_om_yr2025,fc_cp_ann_yr2025,fc_om_yr2045,fc_om_yr2040,fc_om,cap_pwr_leg_hp_fossil,cap_pwr_leg_hp_retr_1pc,cap_pwr_leg_hp_retr_1pc_fossil,cap_pwr_leg_hp_retr_2pc,cap_pwr_leg_hp_retr_2pc_fossil,cap_pwr_leg_yr2020_hp_fossil,cap_pwr_leg_yr2020_hp_retr_1pc,cap_pwr_leg_yr2020_hp_retr_1pc_fossil,cap_pwr_leg_yr2020_hp_retr_2pc,cap_pwr_leg_yr2020_hp_retr_2pc_fossil,cap_pwr_leg_yr2025_hp_fossil,cap_pwr_leg_yr2025_hp_retr_1pc,cap_pwr_leg_yr2025_hp_retr_1pc_fossil,cap_pwr_leg_yr2025_hp_retr_2pc,cap_pwr_leg_yr2025_hp_retr_2pc_fossil,cap_pwr_leg_yr2030_hp_fossil,cap_pwr_leg_yr2030_hp_retr_1pc,cap_pwr_leg_yr2030_hp_retr_1pc_fossil,cap_pwr_leg_yr2030_hp_retr_2pc,cap_pwr_leg_yr2030_hp_retr_2pc_fossil,cap_pwr_leg_yr2035_hp_fossil,cap_pwr_leg_yr2035_hp_retr_1pc,cap_pwr_leg_yr2035_hp_retr_1pc_fossil,cap_pwr_leg_yr2035_hp_retr_2pc,cap_pwr_leg_yr2035_hp_retr_2pc_fossil,cap_pwr_leg_yr2040_hp_fossil,cap_pwr_leg_yr2040_hp_retr_1pc,cap_pwr_leg_yr2040_hp_retr_1pc_fossil,cap_pwr_leg_yr2040_hp_retr_2pc,cap_pwr_leg_yr2040_hp_retr_2pc_fossil,cap_pwr_leg_yr2045_hp_fossil,cap_pwr_leg_yr2045_hp_retr_1pc,cap_pwr_leg_yr2045_hp_retr_1pc_fossil,cap_pwr_leg_yr2045_hp_retr_2pc,cap_pwr_leg_yr2045_hp_retr_2pc_fossil,cap_pwr_leg_yr2050_hp_fossil,cap_pwr_leg_yr2050_hp_retr_1pc,cap_pwr_leg_yr2050_hp_retr_1pc_fossil,cap_pwr_leg_yr2050_hp_retr_2pc,cap_pwr_leg_yr2050_hp_retr_2pc_fossil
0,0,,1,,504.03,0,,0,0,1,2,2,1602.05,1602.51,1633.01,1678.7,1787.38,1879.34,1992.03,2054.89,,,,,,,,,1543.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,1,,504.03,0,,0,0,1,2,2,3846.21,4022.3,4022.3,4023.64,4050.97,4060.36,4060.36,4107.55,,,,,,,,,3992.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,1,,1011.55,0,,0,0,1,2,2,7635.72,9698.35,9784.28,9833.39,9919.4,10005.26,10140.3,10275.34,,,,,,,,,7559.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,,1,,583.19,0,,0,0,1,2,2,13283.9,13496.52,13496.52,13590.17,13780.95,13934.02,14010.2,14055.97,,,,,,,,,13220.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,1,,424.87,0,,0,0,1,2,2,8260.72,8260.73,8260.73,8260.73,8369.78,8661.05,8969.22,9282.79,,,,,,,,,8214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,1,,0,0,,0,0,1,2,0.2,3987.95,3989.09,4065.02,4178.76,4449.29,4678.2,4958.71,5115.18,,,,,,,,,3842.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,1,,0,0,,0,0,1,2,0.2,5448.81,5698.27,5698.27,5700.17,5738.89,5752.19,5752.19,5819.05,,,,,,,,,5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,1,,0,0,,0,0,1,2,0.2,5228.1,5311.77,5311.77,5348.63,5423.72,5483.96,5513.94,5531.95,,,,,,,,,5203.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,,1,,0,0,,0,0,1,2,0.2,4199.87,5334.37,5381.64,5408.65,5455.96,5503.18,5577.46,5651.74,,,,,,,,,4157.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,,1,,0,0,,0,0,1,2,0.2,10381.04,10381.05,10381.05,10381.05,10518.1,10884.13,11271.39,11665.45,,,,,,,,,10322.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,0,,0,0,,1.64,0,1,11.43,3.03,4073.87,3527.01,3527.01,3114.76,957,957,957,957,4970233.2,4303040.97,3897603.14,3800089.65,950022.41,950022.41,950022.41,950022.41,3996.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,,0,,0,0,,1.64,0.01,1,11.43,3.03,266.98,267.21,124.58,71.14,0,0,0,0,570972.81,571446.25,266436.82,152147.57,0,0,0,0,310.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,0,,0,0,,1.64,0,1,11.43,3.03,25177.77,21891.23,21891.23,21891.23,21891.23,19627.07,15791.96,12869.26,54623937.41,47493698.96,42031166.63,33274673.58,13134739.57,0,0,0,24038.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,,0,,0,0,,1.64,0,1,11.43,3.03,9646.2,9180.92,8902.3,7673,6209,5577,2739,697,6010635.99,5720717.36,5547109.41,4781119.17,0,0,0,0,10236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,,0,,0,0,,1.64,0,1,11.43,3.03,52044.52,51352.58,47623.09,35862.13,35862.13,35862.13,35862.13,35862.13,85513395.35,84376473.76,78248630.27,21517276.72,14344851.15,8068978.77,3586212.79,0,43923.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,,0.58,,0,0,,0,0,1,11.43,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,0.58,,0,0,,0,0,1,11.43,3.03,154.52,331.67,1039.39,1680.62,3360.7,3493.23,3516.03,3449.14,930600,1633500,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,0.58,,0,0,,0,0,1,11.43,3.03,0,0,1186.84,5086.75,17195.08,20128.79,21402.1,21402.1,0,0,1493436.28,6400800.32,21637044.29,11171896.2,11171896.2,10302970.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,,0.58,,0,0,,0,0,1,11.43,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,,0.58,,0,0,,0,0,1,11.43,3.03,0,0,0,9350.95,9350.95,9350.95,9219.37,9199.5,0,0,0,15364375.03,15364375.03,15364375.03,15148180.58,11039404.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,,0,,0,0,,2.38,0,1,17.55,4.43,872.75,804.16,0,0,0,0,0,0,382632.94,352560.25,0,0,0,0,0,0,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,,0,,0,0,,2.01,0,1,17.55,4.43,24612.6,23397.81,21563.68,7851.9,0,0,0,0,8143575.36,7741638.2,7134777.65,2597959.56,0,0,0,0,24612.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,0,,0,0,,2.38,0,1,17.55,4.43,5384.84,3855.53,3833.53,1740,0,0,0,0,1356129.57,970984.2,965445.56,438205.51,0,0,0,0,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,,0,,0,0,,2.76,0,1,17.55,4.43,9511.49,8858.02,5103.5,1048,1048,0,0,0,122639.64,114213.89,65803.71,13512.75,13512.75,0,0,0,8700.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,,0,,0,0,,2.4,0,1,13.5,6.78,20679,19020.28,16812.19,9190,5892,0,0,0,4337783.86,3989838.39,3526651.93,1927764.09,0,0,0,0,20679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,30,1,,0,0,,0,0,1,0,0,41282.59,55095.96,53125.67,115000.7,136939.5,158878.29,160003.91,161129.52,,,,,,,,,41297,,,13910.4,12965.4,,,,,12600,,,,,,13620.6,13330.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,31,1,,0,0,,0,0,1,0,0,2411.5,2582.79,3663.84,7911.38,9418.32,10925.25,13462.62,16000,,,,,,,,,2421,,,13910.4,12965.4,,,,,12600,,,,,,13620.6,13330.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,34,1,,0,0,,0,0,1,0,0,8957.8,10224,12569.67,18410.82,20738.32,23065.82,26522.52,29979.23,,,,,,,,,9136.63,,,13910.4,12965.4,,,,,12600,,,,,,13620.6,13330.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,32,1,,0,0,,0,0,1,0,0,60.29,240.57,432.48,705.81,880.28,1362.96,1851.47,2334.15,,,,,,,,,60.29,,,61564.34,57381.98,,,,,55764.8,,,,,,60281.75,58999.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,33,1,,0,0,,0,0,1,0,0,10358.2,20469.96,20979.28,35959,41519.45,47079.9,52944.95,58810,,,,,,,,,10324.5,,,13910.4,12965.4,,,,,12600,,,,,,13620.6,13330.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,36,1,,0,0,,0,0,1,0,0,0,1659.73,4150.41,4542,13267.5,21993,33496.5,45000,,,,,,,,,0,,,44880,60092.5,,,,,72500,,,,,,46282.5,47685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,35,1,,0,0,,0,0,1,0,0,3663.61,6736.01,8881.09,36531.55,48237.15,59942.74,70000.74,70000.74,,,,,,,,,3283,,,44880,60092.5,,,,,72500,,,,,,46282.5,47685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,37,1,,0,0,,0,0,1,0,0,0,0,0,8500,12000,15500,17000,18500,,,,,,,,,0,,,44880,60092.5,,,,,72500,,,,,,46282.5,47685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,25,1,,0,0,,0,0,1,0,0,39756.64,48206,65900.76,215002,290438.7,365875.4,400001.02,434126.64,,,,,,,,,39224,,,9720,9407.5,,,,,9500,,,,,,9517.5,9315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,26,1,,0,0,,0,0,1,0,0,876,1333.65,3692.03,17369.09,28515.01,39660.92,45170.78,50680.64,,,,,,,,,931.56,,,9720,9407.5,,,,,9500,,,,,,9517.5,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,29,1,,0,0,,0,0,1,0,0,18904.95,20056.82,23014.95,74544.27,107863.97,141183.67,158451.63,175719.59,,,,,,,,,18900.79,,,9720,9407.5,,,,,9500,,,,,,9517.5,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,27,1,,0,0,,0,0,1,0,0,0,0,0,573,929.75,1286.5,1643.25,2000,,,,,,,,,0,,,61564.34,57381.98,,,,,55764.8,,,,,,60281.75,58999.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,28,1,,0,0,,0,0,1,0,0,6100.17,9615,25600,43441,60132.05,76823.1,97411.55,118000,,,,,,,,,6196.2,,,9720,9407.5,,,,,9500,,,,,,9517.5,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,,0.33,,0,0,,0,0,1,27,3.89,10800,6907.2,0,0,0,0,0,0,,,,,,,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,,0.33,,0,0,,0,0,1,27,3.89,3333,2974.52,2166.94,1194.03,0,0,0,0,,,,,,,,,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,,0.33,,0,0,,0,0,1,27,3.89,63246.72,61326.72,59493.12,59493.12,56330.16,42452.16,39118.56,29690,,,,,,,,,63130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,,1,,0,0,,0,0,1,11.71,18.8,773,773,773,773,773,773,692,692,,,,,,,,,773.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,,1,,0,0,,0,0,1,11.71,18.8,0,12.98,37.64,88.26,172.63,299.83,438.71,556.82,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,,0.21,,0,0,,0,0,1,11.71,20.23,237.14,291.14,286.24,304.51,301.93,386.79,371.2,316.78,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,,0.21,,0,0,,0,0,1,11.71,20.23,439.27,470.23,506.82,532.15,532.15,534.96,534.96,534.96,,,,,,,,,439.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,,0.21,,0,0,,0,0,1,11.71,20.23,1924,1924,1924,1924,1924,1924,1924,1924,,,,,,,,,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,,0.21,,0,0,,0,0,1,11.71,20.23,779.93,1325.38,1509.66,1571.51,1584.97,1606.76,1647.92,1665.21,,,,,,,,,779.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,,0.21,,0,0,,0,0,1,11.71,20.23,916.76,1147.14,1169.12,1155.67,1186.01,1451.41,1453.98,1436.68,,,,,,,,,916.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,39,0.35,,0,0,,0,0,1,11.71,20.23,396.14,486.36,478.17,508.69,504.39,646.13,620.1,529.18,,,,,,,,,616.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,40,0.35,,0,0,,0,0,1,11.71,20.23,46.2,191.26,407.59,585.73,639.18,662.08,672.26,674.81,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,38,0.35,,0,0,,0,0,1,11.71,20.23,7467,7467,7467,7467,7467,7467,7467,7467,,,,,,,,,7467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,41,0.35,,0,0,,0,0,1,11.71,20.23,922.97,1568.46,1786.54,1859.74,1875.66,1901.45,1950.16,1970.62,,,,,,,,,922.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,42,0.35,,0,0,,0,0,1,11.71,20.23,2984.41,3734.4,3805.95,3762.17,3860.93,4724.89,4733.28,4676.94,,,,,,,,,2984.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,,0,,0,0,,2.22,0.01,1,11.25,5.21,970.58,815.02,482.89,168,0,0,0,0,2931692.35,2461794.85,1458588.08,507451.97,0,0,0,0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,,0,,0,0,,2.22,0.02,1,11.25,5.21,64.42,64.47,30.06,0,0,0,0,0,17918.03,17932.88,8361.21,0,0,0,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,,0,,0,0,,2.22,0,1,11.25,5.21,5028.38,1673.83,1458.16,833.38,0,0,0,0,2633553.2,876650.5,763693.79,653683.98,0,0,0,0,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,,0,,0,0,,2.22,0,1,11.25,5.21,7692.8,5008.33,1849.26,0,0,0,0,0,512974.54,333967.74,123313.41,0,0,0,0,0,8496.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,,0,,0,0,,2.22,0,1,11.25,5.21,13928,8629.21,0,0,0,0,0,0,9049483.37,5606685.82,0,0,0,0,0,0,3197.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,,1,,5.74,0.26,,0,0,1,0,1.5,8149.2,8149.2,8149.2,8149.2,8149.2,8149.2,8149.2,8149.2,,,,,,,,,8149.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,,1,,3.5,0.3,,0,0,1,0,1.5,3853.99,4030.44,4030.44,4031.78,4059.17,4068.58,4068.58,4115.86,,,,,,,,,4000.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,,1,,5.74,0.25,,0,0,1,0,1.5,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,3795.9,,,,,,,,,3795.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,,1,,20.36,0.25,,0,0,1,0,1.5,1917.52,2435.49,2457.07,2469.4,2491,2512.56,2546.48,2580.39,,,,,,,,,1898.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,,1,,20.36,0.28,,0,0,1,0,1.5,4993.24,4993.24,4993.24,4993.24,5059.16,5235.22,5421.49,5611.03,,,,,,,,,4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,,1,,0,0,,0,0,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,,1,,2,0.1,,0,0,1,0,0,1,1,1,4289.96,6643.83,8997.7,19395.59,9586.96,,,,,,,,,1,,1,9828,9259.25,,,,,9100,,,,,,9623.25,9418.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,,1,,2,0.1,,0,0,1,0,0,1,1,1,53100,91100,116050,141000,197400,,,,,,,,,1,,1,9828,9259.25,,,,,9100,,,,,,9623.25,9418.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
