nd_id;pt_id;discharge_duration;st_lss_rt;fc_om;fc_om_yr2020;fc_om_yr2025;fc_om_yr2030;fc_om_yr2035;fc_om_yr2040;fc_om_yr2045;fc_om_yr2050;fc_cp_ann;fc_cp_ann_yr2020;fc_cp_ann_yr2025;fc_cp_ann_yr2030;fc_cp_ann_yr2035;fc_cp_ann_yr2040;fc_cp_ann_yr2045;fc_cp_ann_yr2050;ca_id;pp_eff
IND_RUR;H2_ELY_IND;0;0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;178771.9;176045.9;165547.2;143184.6;121223.7;106800.0;97460.2;90896.8;6;0.7
IND_RUR;H2_STO_IND;1;0;134.8;134.8;134.8;134.8;134.8;134.8;134.8;134.8;661.4;661.4;661.4;661.4;661.4;661.4;661.4;661.4;6;1
IND_RUR;H2_FC_IND;0;0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;209416.3;134872.1;70769.8;42321.5;32406.7;28011.3;25426.6;23653.7;0;0.4
IND_SUB;H2_ELY_IND;0;0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;178771.9;176045.9;165547.2;143184.6;121223.7;106800.0;97460.2;90896.8;6;0.7
IND_SUB;H2_STO_IND;1;0;134.8;134.8;134.8;134.8;134.8;134.8;134.8;134.8;661.4;661.4;661.4;661.4;661.4;661.4;661.4;661.4;6;1
IND_SUB;H2_FC_IND;0;0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;209416.3;134872.1;70769.8;42321.5;32406.7;28011.3;25426.6;23653.7;0;0.4
IND_URB;H2_ELY_IND;0;0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;178771.9;176045.9;165547.2;143184.6;121223.7;106800.0;97460.2;90896.8;6;0.7
IND_URB;H2_STO_IND;1;0;134.8;134.8;134.8;134.8;134.8;134.8;134.8;134.8;661.4;661.4;661.4;661.4;661.4;661.4;661.4;661.4;6;1
IND_URB;H2_FC_IND;0;0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;209416.3;134872.1;70769.8;42321.5;32406.7;28011.3;25426.6;23653.7;0;0.4
CH0;H2_ELY_CH0;0;0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;58000.0;178771.9;176045.9;165547.2;143184.6;121223.7;106800.0;97460.2;90896.8;6;0.7
CH0;H2_STO_CH0;1;0;134.8;134.8;134.8;134.8;134.8;134.8;134.8;134.8;661.4;661.4;661.4;661.4;661.4;661.4;661.4;661.4;6;1
CH0;H2_FC_CH0;0;0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;104032.0;209416.3;134872.1;70769.8;42321.5;32406.7;28011.3;25426.6;23653.7;0;0.4
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
