nd_id;pt_id;discharge_duration;st_lss_rt;fc_om;fc_om_yr2020;fc_om_yr2025;fc_om_yr2030;fc_om_yr2035;fc_om_yr2040;fc_om_yr2045;fc_om_yr2050;fc_cp_ann;fc_cp_ann_yr2020;fc_cp_ann_yr2025;fc_cp_ann_yr2030;fc_cp_ann_yr2035;fc_cp_ann_yr2040;fc_cp_ann_yr2045;fc_cp_ann_yr2050;ca_id;pp_eff
IND_RUR;H2_ELY_IND;0;0;58000;58000;58000;58000;58000;58000;58000;58000;178772;176046;165547;143185;121224;106800;97460;90897;6;0.7
IND_RUR;H2_STO_IND;1;0.03;134.82;134.82;134.82;134.82;134.82;134.82;134.82;134.82;661;661;661;661;661;661;661;661;6;1
IND_RUR;H2_FC_IND;0;0;104032;104032;104032;104032;104032;104032;104032;104032;209416;134872;70770;42321;32407;28011;25427;23654;0;0.4
IND_SUB;H2_ELY_IND;0;0;58000;58000;58000;58000;58000;58000;58000;58000;178772;176046;165547;143185;121224;106800;97460;90897;6;0.7
IND_SUB;H2_STO_IND;1;0.03;134.82;134.82;134.82;134.82;134.82;134.82;134.82;134.82;661;661;661;661;661;661;661;661;6;1
IND_SUB;H2_FC_IND;0;0;104032;104032;104032;104032;104032;104032;104032;104032;209416;134872;70770;42321;32407;28011;25427;23654;0;0.4
IND_URB;H2_ELY_IND;0;0;58000;58000;58000;58000;58000;58000;58000;58000;178772;176046;165547;143185;121224;106800;97460;90897;6;0.7
IND_URB;H2_STO_IND;1;0.03;134.82;134.82;134.82;134.82;134.82;134.82;134.82;134.82;661;661;661;661;661;661;661;661;6;1
IND_URB;H2_FC_IND;0;0;104032;104032;104032;104032;104032;104032;104032;104032;209416;134872;70770;42321;32407;28011;25427;23654;0;0.4
CH0;H2_ELY_CH0;0;0;58000;58000;58000;58000;58000;58000;58000;58000;101900;100346;94362;81615;69097;60876;55552;51811;6;0.7
CH0;H2_STO_CH0;1;0.03;134.82;134.82;134.82;134.82;134.82;134.82;134.82;134.82;661;661;661;661;661;661;661;661;6;1
CH0;H2_FC_CH0;0;0;104032;104032;104032;104032;104032;104032;104032;104032;209416;134872;70770;42321;32407;28011;25427;23654;0;0.4
