pp,ca_id,pp_eff,discharge_duration,st_lss_rt,factor_lin_0,factor_lin_1,cap_avlb,vc_ramp,vc_om,cap_pwr_leg,cap_pwr_leg_yr2020,cap_pwr_leg_yr2025,cap_pwr_leg_yr2030,cap_pwr_leg_yr2035,cap_pwr_leg_yr2040,cap_pwr_leg_yr2045,cap_pwr_leg_yr2050
MFH_RUR_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099
MFH_RUR_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0380,0.0380,0.0380,0.0380,0.0380,0.0380,0.0380,0.0380
MFH_RUR_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300
MFH_RUR_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609
MFH_SUB_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902
MFH_SUB_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396
MFH_SUB_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663
MFH_SUB_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
MFH_URB_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0822,0.0822,0.0822,0.0822,0.0822,0.0822,0.0822,0.0822
MFH_URB_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
MFH_URB_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986
MFH_URB_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201
SFH_RUR_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0791,0.0791,0.0791,0.0791,0.0791,0.0791,0.0791,0.0791
SFH_RUR_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0630,0.0630,0.0630,0.0630,0.0630,0.0630,0.0630,0.0630
SFH_RUR_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416
SFH_RUR_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
SFH_SUB_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0691,0.0691,0.0691,0.0691,0.0691,0.0691,0.0691,0.0691
SFH_SUB_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0471,0.0471,0.0471,0.0471,0.0471,0.0471,0.0471,0.0471
SFH_SUB_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151
SFH_SUB_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383
SFH_URB_0_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
SFH_URB_1_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267
SFH_URB_2_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386
SFH_URB_3_V2G,0,1,2,0.1,0,0,1,0,78.125,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144
