pf_id,pf,primary_nd
0,demand_EL_CH0,CH0
1,demand_EL_DE0,DE0
2,demand_EL_FR0,FR0
3,demand_EL_AT0,AT0
4,demand_EL_IT0,IT0
5,inflow_CH0,CH0
6,inflow_DE0,DE0
7,inflow_FR0,FR0
8,inflow_AT0,AT0
9,inflow_IT0,IT0
10,pricebuy_electricity_CH0,CH0
11,pricebuy_electricity_DE0,DE0
12,pricebuy_electricity_FR0,FR0
13,pricebuy_electricity_AT0,AT0
14,pricebuy_electricity_IT0,IT0
15,pricesll_electricity_CH0,CH0
16,pricesll_electricity_DE0,DE0
17,pricesll_electricity_FR0,FR0
18,pricesll_electricity_AT0,AT0
19,pricesll_electricity_IT0,IT0
20,chp_CH0,CH0
21,chp_DE0,DE0
22,chp_FR0,FR0
23,chp_AT0,AT0
24,chp_IT0,IT0
25,supply_DE_SOL_PHO,DE_SOL_PHO
26,supply_AT_SOL_PHO,AT_SOL_PHO
27,supply_CH_SOL_PHO,CH_SOL_PHO
28,supply_FR_SOL_PHO,FR_SOL_PHO
29,supply_IT_SOL_PHO,IT_SOL_PHO
30,supply_DE_WIN_ONS,DE_WIN_ONS
31,supply_AT_WIN_ONS,AT_WIN_ONS
32,supply_CH_WIN_ONS,CH_WIN_ONS
33,supply_FR_WIN_ONS,FR_WIN_ONS
34,supply_IT_WIN_ONS,IT_WIN_ONS
35,supply_DE_WIN_OFF,DE_WIN_OFF
36,supply_FR_WIN_OFF,FR_WIN_OFF
37,supply_DE_BAL_ELC,DE_BAL_ELC
38,supply_AT_BAL_ELC,AT_BAL_ELC
39,supply_CH_BAL_ELC,CH_BAL_ELC
40,supply_FR_BAL_ELC,FR_BAL_ELC
41,supply_IT_BAL_ELC,IT_BAL_ELC
42,supply_avg_all_PHO,avg_all_PHO
43,demand_EL_IND_RUR,IND_RUR
44,demand_EL_IND_SUB,IND_SUB
45,demand_EL_IND_URB,IND_URB
46,demand_EL_MFH_RUR_0,MFH_RUR_0
47,demand_EL_MFH_RUR_1,MFH_RUR_1
48,demand_EL_MFH_RUR_2,MFH_RUR_2
49,demand_EL_MFH_RUR_3,MFH_RUR_3
50,demand_EL_MFH_SUB_0,MFH_SUB_0
51,demand_EL_MFH_SUB_1,MFH_SUB_1
52,demand_EL_MFH_SUB_2,MFH_SUB_2
53,demand_EL_MFH_SUB_3,MFH_SUB_3
54,demand_EL_MFH_URB_0,MFH_URB_0
55,demand_EL_MFH_URB_1,MFH_URB_1
56,demand_EL_MFH_URB_2,MFH_URB_2
57,demand_EL_MFH_URB_3,MFH_URB_3
58,demand_EL_OCO_RUR,OCO_RUR
59,demand_EL_OCO_SUB,OCO_SUB
60,demand_EL_OCO_URB,OCO_URB
61,demand_EL_SFH_RUR_0,SFH_RUR_0
62,demand_EL_SFH_RUR_1,SFH_RUR_1
63,demand_EL_SFH_RUR_2,SFH_RUR_2
64,demand_EL_SFH_RUR_3,SFH_RUR_3
65,demand_EL_SFH_SUB_0,SFH_SUB_0
66,demand_EL_SFH_SUB_1,SFH_SUB_1
67,demand_EL_SFH_SUB_2,SFH_SUB_2
68,demand_EL_SFH_SUB_3,SFH_SUB_3
69,demand_EL_SFH_URB_0,SFH_URB_0
70,demand_EL_SFH_URB_1,SFH_URB_1
71,demand_EL_SFH_URB_2,SFH_URB_2
