fl_id,nd_id,ca_id,pricesll_pf_id,pricebuy_pf_id,is_chp,erg_inp,erg_inp_yr2020,erg_inp_yr2025,erg_inp_yr2030,erg_inp_yr2035,erg_inp_yr2040,erg_inp_yr2045,erg_inp_yr2050,vc_fl,vc_fl_yr2020,vc_fl_yr2025,vc_fl_yr2030,vc_fl_yr2035,vc_fl_yr2040,vc_fl_yr2045,vc_fl_yr2050
15,0,0,,,,2423148.98380058,2974980.25069992,2924886.91373594,3111586.35722865,3085255.27034922,3952287.95100687,3793068.08199888,3236918.62488315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1,0,,,,195450.8442,809146.803230768,1724307.44389069,2477969.14796356,2704067.65918542,2800967.02113765,2844033.40422753,2854800.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,2,0,,,,40784295.0,40784295.0,40784295.0,40784295.0,40784295.0,40784295.0,40784295.0,40784295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3,0,,,,7287700.5,12384403.6067745,14106325.520514002,14684311.7698053,14810066.3830914,15013638.8114069,15398314.2467793,15559796.0443958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,4,0,,,,16630857.0,20810235.4886864,21208929.3079825,20964976.1347989,21515322.2897355,26329836.491752803,26376601.8705101,26062628.005260102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,0,,,,3837415.22291967,4519671.39325486,0.0,0.0,0.0,0.0,0.0,0.0,10.8351179180115,16.5510739918323,20.4892527167409,6.41,6.08,5.76,5.62,5.47
0,2,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.45150924786796,16.5510739918323,20.4892527167409,6.41,6.08,5.76,5.62,5.47
0,3,0,,,,8070642.08243921,8334656.99163669,330600.45434457896,62797.3122718083,0.0,0.0,0.0,0.0,10.8351179180115,16.5510739918323,20.4892527167409,6.41,6.08,5.76,5.62,5.47
0,4,0,,,,53853059.9622313,61453986.182493895,41260345.3881933,1200000.0,1200000.0,0.0,0.0,0.0,12.1371685288369,16.5510739918323,20.4892527167409,6.41,6.08,5.76,5.62,5.47
1,2,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,1.44,1.44,6.48,6.48,6.48,6.48,6.48
22,2,0,,,,249698835.173008,250545251.07467905,244466205.03039503,212224045.950738,167396193.995554,146771088.889292,104781991.705672,125221776.649399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,,,,190389.863208238,197091.881012212,70482.0229923837,61684.4051398645,58249.5493106862,268.730917981588,268.730917981588,0.0,24.1080393000574,86.87796668839322,101.975496857013,38.19,36.38,34.57,32.77,30.96
13,1,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.241509433962303,86.87796668839322,101.975496857013,38.19,36.38,34.57,32.77,30.96
13,2,0,,,,987165.880248495,861092.96834374,1827681.94808245,2796386.71842606,3071606.06589791,3312837.7940740003,3235510.89965214,505412.308419888,23.3059029696229,86.87796668839322,101.975496857013,38.19,36.38,34.57,32.77,30.96
13,3,0,,,,471950.598669214,0.0,308290.547175348,311630.37994716,222341.300379956,85322.7234210337,107403.522317454,17905.2164312854,32.7896200185357,86.87796668839322,101.975496857013,38.19,36.38,34.57,32.77,30.96
13,4,0,,,,8035037.014508099,7129057.79611107,7328282.57299932,7100329.72299174,4636287.6580171,4110184.56519111,2572247.28487012,790954.9717923241,38.3946500286862,86.87796668839322,101.975496857013,38.19,36.38,34.57,32.77,30.96
2,0,0,,,,6706152.09556566,13936802.3436361,13429319.4770377,11514450.0,9926100.0,8337750.0,8321120.0,8304490.0,38.0,56.3081783934865,63.0597627754026,18.63,17.84,17.05,16.27,15.48
2,1,0,,,,0.0,0.0,0.0,11514450.0,9926100.0,8337750.0,8321120.0,8304490.0,63.29,56.3081783934865,63.0597627754026,18.63,17.84,17.05,16.27,15.48
20,1,0,,,,2673000.0,3098700.0,5346000.0,7712100.0,15057900.0,12741300.0,11691900.0,10543500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,,,,91879646.1038115,73969428.0382549,101205591.630207,50819000.0,34000000.0,34000000.0,23000000.0,23000000.0,29.5,56.3081783934865,63.0597627754026,18.63,17.84,17.05,16.27,15.48
2,3,0,,,,25494984.9869448,22102503.8146216,23433783.7968554,19182500.0,12009395.95,4836291.9,2637805.5,439319.1,42.2,56.3081783934865,63.0597627754026,18.63,17.84,17.05,16.27,15.48
2,4,0,,,,109190007.439397,124904448.591174,123003190.609459,75000000.0,62500000.0,50000000.0,37500000.0,25000000.0,41.8222222222222,56.3081783934865,63.0597627754026,18.63,17.84,17.05,16.27,15.48
3,1,0,,,,23424740.0,20661040.0,15228940.0,8395930.0,0.0,0.0,0.0,0.0,1.881,1.881,1.881,6.05,6.05,6.05,6.05,6.05
3,2,0,,,,92360843.1016297,32849068.8589401,0.0,0.0,0.0,0.0,0.0,0.0,1.881,1.881,1.881,6.05,6.05,6.05,6.05,6.05
3,3,0,,,,423454524.124899,377547216.873395,367091902.00370896,366963824.624427,361131045.876927,295197035.2,270121018.0,181500553.6,1.881,1.881,1.881,6.05,6.05,6.05,6.05,6.05
6,4,0,,,,5918513.10600001,5918513.106000001,5918513.106000001,5918513.106000001,5918513.106000001,5918513.106000001,5478976.164,5478976.16400001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0,,,,0.0,97521.4452214456,282812.191142191,663145.827505828,1297035.22144523,2252745.38461538,3296224.84848485,4183670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
