fl_id,nd_id,ca_id,scenario,erg_inp,erg_inp_yr2020,erg_inp_yr2025,erg_inp_yr2030,erg_inp_yr2035,erg_inp_yr2040,erg_inp_yr2045,erg_inp_yr2050
15,1,0,hi_gas,195450.8442,536167.622993618,952599.241519148,1293316.02031277,1305935.16026808,1343792.58013404,1381650.0,1381650.0
15,1,0,hi_ren,195450.8442,809146.803230768,1724307.44389069,2477969.14796356,2704067.65918542,2800967.02113765,2844033.40422753,2854800.0
6,1,0,hi_gas,0.0,71841.5384615385,174472.307692308,307892.307692308,369470.769230769,369470.769230769,400260.0,400260.0
6,1,0,hi_ren,0.0,97521.4452214456,282812.191142191,663145.827505828,1297035.22144523,2252745.38461538,3296224.84848485,4183670.0
5,1,0,hi_gas,89100.0,138600.0,247500.0,564300.0,762300.0,1009800.0,1237500.0,1395900.0
5,1,0,hi_ren,346500.0,653400.0,980100.0,1445400.0,1742400.0,2564100.0,3395700.0,4217400.0
8,1,0,hi_gas,210000.0,340000.0,550000.0,960000.0,2520000.0,3480000.0,4730000.0,5920000.0
8,1,0,hi_ren,280000.0,520000.0,980000.0,1910000.0,4440000.0,6740000.0,9230000.0,11120000.0
20,1,0,hi_gas,2623500.0,3900600.0,6831000.0,9919800.0,22067100.0,21384000.0,21760200.0,21433500.0
20,1,0,hi_ren,2673000.0,3098700.0,3356100.0,3583800.0,3544200.0,3405600.0,3415500.0,3415500.0
