hy,price_pf_id,value
0.0,15,43.43
0.0,16,18.29
0.0,17,51.93
1.0,15,38.08
1.0,16,16.04
1.0,17,48.76
2.0,15,35.47
2.0,16,14.6
2.0,17,42.27
3.0,15,30.83
3.0,16,14.95
3.0,17,38.41
4.0,15,28.26
4.0,16,14.5
4.0,17,35.72
5.0,15,25.36
5.0,16,10.76
5.0,17,32.66
6.0,15,26.93
6.0,16,12.01
6.0,17,32.83
7.0,15,24.95
7.0,16,12.39
7.0,17,30.06
8.0,15,26.71
8.0,16,14.04
8.0,17,29.24
9.0,15,30.04
9.0,16,14.68
9.0,17,37.54
10.0,15,31.77
10.0,16,16.08
10.0,17,41.19
11.0,15,35.09
11.0,16,16.08
11.0,17,44.69
12.0,15,35.39
12.0,16,16.05
12.0,17,39.77
13.0,15,31.47
13.0,16,16.04
13.0,17,33.29
14.0,15,29.08
14.0,16,16.1
14.0,17,32.47
15.0,15,31.03
15.0,16,23.93
15.0,17,34.73
16.0,15,39.09
16.0,16,26.9
16.0,17,40.95
17.0,15,47.82
17.0,16,26.36
17.0,17,51.25
18.0,15,50.75
18.0,16,23.98
18.0,17,52.55
19.0,15,49.3
19.0,16,16.09
19.0,17,49.55
20.0,15,48.24
20.0,16,14.08
20.0,17,46.31
21.0,15,49.04
21.0,16,12.44
21.0,17,48.75
22.0,15,46.14
22.0,16,0.04
22.0,17,47.59
23.0,15,42.29
23.0,16,-12.11
23.0,17,38.8
24.0,15,38.1
24.0,16,-19.63
24.0,17,36.73
25.0,15,38.03
25.0,16,-19.37
25.0,17,33.52
26.0,15,32.06
26.0,16,-31.41
26.0,17,27.5
27.0,15,27.66
27.0,16,-46.97
27.0,17,22.84
28.0,15,28.0
28.0,16,-13.48
28.0,17,26.1
29.0,15,33.44
29.0,16,0.08
29.0,17,27.17
30.0,15,37.1
30.0,16,10.06
30.0,17,33.33
31.0,15,39.34
31.0,16,14.25
31.0,17,42.06
32.0,15,41.82
32.0,16,14.56
32.0,17,46.13
33.0,15,42.19
33.0,16,14.64
33.0,17,44.05
34.0,15,43.0
34.0,16,15.08
34.0,17,45.3
35.0,15,44.02
35.0,16,15.41
35.0,17,48.64
36.0,15,42.48
36.0,16,14.52
36.0,17,44.87
37.0,15,39.12
37.0,16,14.7
37.0,17,41.0
38.0,15,38.05
38.0,16,14.66
38.0,17,39.78
39.0,15,39.49
39.0,16,16.09
39.0,17,39.73
40.0,15,47.91
40.0,16,25.1
40.0,17,50.24
41.0,15,52.88
41.0,16,25.06
41.0,17,54.1
42.0,15,52.96
42.0,16,19.08
42.0,17,53.13
43.0,15,49.91
43.0,16,14.26
43.0,17,48.81
44.0,15,48.93
44.0,16,12.22
44.0,17,42.99
45.0,15,50.0
45.0,16,10.4
45.0,17,48.76
46.0,15,49.86
46.0,16,-0.33
46.0,17,48.45
47.0,15,39.48
47.0,16,-0.08
47.0,17,46.97
48.0,15,37.01
48.0,16,-0.07
48.0,17,43.27
49.0,15,35.61
49.0,16,-5.03
49.0,17,41.76
50.0,15,29.28
50.0,16,0.01
50.0,17,37.54
51.0,15,26.24
51.0,16,-0.04
51.0,17,32.99
52.0,15,25.82
52.0,16,0.03
52.0,17,31.24
53.0,15,26.75
53.0,16,-8.67
53.0,17,36.71
54.0,15,30.84
54.0,16,4.46
54.0,17,39.47
55.0,15,35.78
55.0,16,9.9
55.0,17,44.51
56.0,15,37.2
56.0,16,14.29
56.0,17,44.45
57.0,15,36.44
57.0,16,16.73
57.0,17,45.01
58.0,15,36.74
58.0,16,22.31
58.0,17,45.36
59.0,15,37.07
59.0,16,23.03
59.0,17,45.6
60.0,15,37.0
60.0,16,22.4
60.0,17,43.4
61.0,15,33.76
61.0,16,27.07
61.0,17,39.6
62.0,15,31.07
62.0,16,29.33
62.0,17,35.48
63.0,15,31.48
63.0,16,33.85
63.0,17,33.85
64.0,15,40.09
64.0,16,45.96
64.0,17,45.96
65.0,15,46.36
65.0,16,49.82
65.0,17,49.82
66.0,15,48.95
66.0,16,47.62
66.0,17,47.62
67.0,15,48.04
67.0,16,35.98
67.0,17,43.79
68.0,15,46.0
68.0,16,27.26
68.0,17,42.44
69.0,15,43.66
69.0,16,27.7
69.0,17,42.03
70.0,15,37.48
70.0,16,14.27
70.0,17,40.91
71.0,15,36.41
71.0,16,9.32
71.0,17,36.26
72.0,15,31.46
72.0,16,0.02
72.0,17,32.28
73.0,15,24.97
73.0,16,-0.04
73.0,17,27.63
74.0,15,14.42
74.0,16,0.01
74.0,17,23.94
75.0,15,11.03
75.0,16,0.0
75.0,17,15.69
76.0,15,13.77
76.0,16,-0.01
76.0,17,18.14
77.0,15,16.44
77.0,16,-3.18
77.0,17,20.03
78.0,15,17.79
78.0,16,-0.05
78.0,17,19.23
79.0,15,18.86
79.0,16,0.05
79.0,17,27.31
80.0,15,28.83
80.0,16,9.62
80.0,17,34.54
81.0,15,33.02
81.0,16,11.54
81.0,17,36.7
82.0,15,35.64
82.0,16,14.68
82.0,17,37.14
